Gene ID	treated_1	treated_2	treated_3	untreated_1	untreated_2	untreated_3
LOC107984904	0	0	0	0	1	1
LOC105378599	0	0	0	0	0	1
ACTRT2	0	0	0	0	0	0
PRDM16-DT	8	11	4	12	5	9
PRDM16	155	91	103	148	91	135
MIR4251	0	0	0	1	0	0
LOC105378606	0	0	0	1	3	0
LOC107984909	3	4	1	0	1	0
LOC105378605	0	0	0	0	1	0
LOC105378604	1	0	3	1	0	2
ARHGEF16	1953	1255	1525	2000	1352	1710
MEGF6	2352	1802	1899	3478	2176	2867
LOC105378608	0	1	0	0	1	0
MIR551A	0	0	0	0	0	0
LOC105378607	0	0	0	0	0	0
TPRG1L	1471	1064	1199	1616	1146	1481
WRAP73	651	438	496	947	629	882
TP73	36	30	38	147	89	113
TP73-AS3	1	3	2	1	0	0
LOC105378609	0	0	0	0	0	1
TP73-AS1	0	1	1	3	3	2
CCDC27	7	6	3	14	8	22
SMIM1	41	31	36	87	49	86
LRRC47	2112	1461	1625	2859	1931	2416
CEP104	2057	1515	1654	2510	1658	2286
DFFB	421	302	339	570	377	510
LOC107984910	51	53	36	60	50	63
C1orf174	913	614	687	1002	671	983
LINC01134	22	18	19	44	17	29
LINC01346	0	0	0	0	0	0
LINC01345	2	1	0	0	0	1
LINC02780	0	0	0	0	0	0
LINC01777	1	0	0	0	0	0
LOC105376674	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0
LOC107985376	0	0	0	0	0	0
AJAP1	12	9	11	1	1	0
LINC02781	0	0	0	0	0	0
LOC102724429	0	0	0	0	0	0
LINC02782	0	0	0	0	0	0
LOC105376682	0	0	0	0	0	0
LOC107984911	0	0	0	0	0	0
LOC105376686	0	0	0	0	0	0
MIR4689	0	0	0	1	2	1
NPHP4	861	521	729	1198	748	1035
KCNAB2	459	271	366	625	384	546
CHD5	573	412	489	311	203	249
LOC105376687	3	3	0	0	2	3
RPL22	15273	10959	11974	23364	16873	23238
LOC107985733	61	51	40	52	75	73
RNF207-AS1	12	9	8	11	14	17
RNF207	417	265	312	245	167	201
ICMT	2347	1705	2034	3515	2394	3244
ICMT-DT	19	7	14	21	16	16
HES3	1	0	1	0	0	0
GPR153	452	265	353	352	244	334
ACOT7	322	215	250	894	628	862
HES2	119	78	69	68	73	59
ESPN	3154	2143	2395	3680	2574	3124
MIR4252	2	1	0	2	1	3
TNFRSF25	1349	950	1226	2385	1687	2162
PLEKHG5	2575	1685	1975	17068	11564	15132
NOL9	925	720	750	1365	915	1247
TAS1R1	4	2	8	15	2	0
LOC107984912	2	0	1	1	0	0
ZBTB48	858	517	638	1060	673	969
KLHL21	2854	2055	2280	3034	1949	2675
LOC107984913	63	38	34	96	43	75
PHF13	1450	974	1095	8608	5604	7324
THAP3	902	535	669	1152	787	1104
DNAJC11	1763	1123	1378	2714	1892	2411
LINC01672	0	1	1	1	0	1
CAMTA1-DT	23	11	15	35	11	15
CAMTA1	1161	899	883	1414	985	1279
LOC105376692	1	1	0	0	0	1
CAMTA1-AS2	0	0	1	1	1	0
CAMTA1-AS1	8	2	2	13	4	9
LOC105376691	2	0	0	0	0	0
LOC105376689	271	181	192	325	225	248
VAMP3	2298	1800	1857	2734	2047	2561
PER3	1326	912	1071	1469	1020	1325
UTS2	0	0	0	1	1	0
TNFRSF9	5	0	0	0	2	0
PARK7	3515	2436	2901	6277	4363	6049
ERRFI1	3011	2270	2296	1303	875	1050
LOC107984915	0	0	0	1	0	0
LINC01714	0	1	0	0	0	0
LOC105376695	1	0	0	0	0	0
SLC45A1	30	20	19	15	7	11
RERE	4704	3041	3650	6070	3774	5039
RERE-AS1	0	3	0	0	1	0
SNORD128	0	0	0	0	0	1
ENO1	36965	24290	32047	85459	60975	79742
MIR6728	5	3	1	61	4	3
ENO1-AS1	24	18	8	46	16	37
LOC112268261	1	0	0	0	0	0
CA6	0	0	1	0	0	0
SLC2A7	1	0	0	2	0	0
SLC2A5	11	7	6	9	2	1
GPR157	1886	1135	1449	1322	870	1181
MIR34AHG	333	204	266	664	478	643
MIR34A	8	2	2	6	5	7
LNCTAM34A	26	21	35	77	53	88
H6PD	1986	1302	1572	2947	1979	2561
SPSB1	604	465	477	678	462	604
LINC02606	4	7	8	10	12	18
SLC25A33	365	310	349	481	349	441
TMEM201	783	509	532	1038	679	875
LOC107985734	20	16	13	17	18	19
LOC105376712	0	0	0	0	0	0
PIK3CD	120	77	79	96	75	73
PIK3CD-AS1	0	1	0	0	0	0
PIK3CD-AS2	3	3	2	12	9	11
CLSTN1	6408	4462	5222	6106	3935	4943
CTNNBIP1	874	598	699	1139	764	1024
LOC105376717	55	47	42	95	68	74
LZIC	871	646	721	1642	1088	1592
NMNAT1	440	368	336	816	641	806
TMEM274P	2	1	1	1	1	5
MIR5697	0	0	0	0	4	0
RBP7	9	2	4	21	12	15
UBE4B	2698	1920	2109	4502	2742	3903
KIF1B	2958	2089	2364	2930	1953	2690
LOC105376725	8	5	2	8	5	9
PGD	9448	6193	7666	11611	8061	11016
CENPS-CORT	135	87	105	282	195	271
CENPS	138	96	97	335	202	301
CORT	19	20	21	44	31	26
DFFA	3338	2283	2685	5300	3626	5045
PEX14	843	472	661	1107	697	989
CASZ1	4647	3226	3628	5600	3517	4725
LOC105376733	0	0	0	0	0	0
LOC105376735	0	0	0	0	0	0
C1orf127	15	10	11	8	7	5
TARDBP	6777	5083	5431	11874	8182	11475
MASP2	162	129	157	193	124	193
SRM	3760	2554	3012	5284	3424	4503
EXOSC10	3356	2335	2712	5335	3583	4862
EXOSC10-AS1	119	75	93	190	135	183
MTOR	4610	3225	3720	5902	3833	5333
MTOR-AS1	68	54	59	87	52	76
ANGPTL7	2	1	3	1	2	1
UBIAD1	1393	838	1030	1702	1091	1662
LOC105376737	0	0	1	0	0	0
LOC105376739	0	0	0	0	0	0
LOC105376740	2	1	1	0	4	0
DISP3	745	571	615	598	421	517
LOC112268221	77	43	51	59	38	32
LINC01647	1	2	4	2	4	6
FBXO2	119	76	86	82	57	91
FBXO44	1192	790	897	1335	847	1221
FBXO6	189	155	167	215	162	194
MAD2L2	597	463	527	1155	879	1065
DRAXIN	64	47	47	76	45	46
AGTRAP	836	554	715	1457	1138	1400
C1orf167	404	258	344	565	391	522
C1orf167-AS1	0	0	0	1	0	0
MTHFR	1789	1192	1514	2482	1644	2205
CLCN6	1817	1238	1540	2391	1587	2108
NPPA-AS1	256	173	199	336	213	276
NPPA	29	23	22	40	25	42
NPPB	0	1	1	1	1	1
RNU5E-1	2	1	1	0	0	2
KIAA2013	3156	2371	2472	20280	14008	18088
PLOD1	2000	1263	1594	4768	3301	4130
MFN2	4074	2799	3459	5762	3725	5305
MIIP	1245	761	952	1560	992	1254
MIR6729	7	6	3	8	10	13
TNFRSF8	0	1	2	0	1	0
MIR7846	0	0	0	0	0	0
TNFRSF1B	4	4	2	0	0	0
MIR4632	0	0	0	0	0	0
LOC107984917	1	0	0	0	0	0
VPS13D	6561	4741	5275	7630	5089	6808
SNORA59A	36	25	19	26	28	30
LINC02766	6	5	4	6	4	5
DHRS3	829	539	577	1676	1068	1276
MIR6730	3	2	1	1	0	1
AADACL4	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
CFAP107	1	2	1	1	0	0
PRAMEF12	0	0	0	0	0	0
PRAMEF1	0	0	0	0	2	0
LINC01784	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0
HNRNPCL1	2	0	3	3	0	1
PRAMEF2	0	0	1	0	0	0
PRAMEF4	0	0	0	0	0	0
PRAMEF10	2	0	0	0	0	0
PRAMEF7	1	1	0	0	0	0
PRAMEF6	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0
HNRNPCL3	0	0	0	0	1	0
PRAMEF25	0	0	0	0	0	0
PRAMEF34P	0	0	0	1	0	0
HNRNPCL2	2	0	0	1	0	0
PRAMEF36P	0	0	0	1	0	0
PRAMEF26	0	0	0	0	0	0
HNRNPCL4	2	0	1	0	0	0
PRAMEF9	0	0	0	0	0	0
PRAMEF13	1	2	0	0	0	0
PRAMEF18	0	0	0	0	0	0
PRAMEF5	0	1	0	0	0	0
PRAMEF8	1	1	0	0	0	0
PRAMEF33	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0
PRAMEF19	3	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0
LRRC38	1	0	0	0	0	0
LOC102724856	0	0	0	0	0	0
LOC107984918	0	0	0	0	0	0
PDPN	0	2	0	0	0	0
LOC107984919	0	0	0	0	0	0
LOC105378612	0	0	0	0	0	0
LOC105376756	0	0	0	0	0	0
PRDM2	2500	1890	1970	3550	2369	3256
KAZN	851	556	649	4584	2852	3816
LOC107985467	1	0	0	2	0	0
LOC107985468	0	0	0	1	0	0
KAZN-AS1	0	1	0	1	1	0
LOC105376759	0	1	0	0	0	1
LOC107985469	0	0	0	0	0	0
TMEM51-AS1	121	71	85	95	63	74
TMEM51	428	382	359	396	239	356
TMEM51-AS2	0	1	1	4	0	3
FHAD1	10	8	9	16	5	13
FHAD1-AS1	2	1	3	2	1	2
EFHD2-AS1	12	7	5	8	10	3
EFHD2	1216	976	973	1804	1088	1487
CTRC	5	2	4	9	2	2
CELA2A	4	1	0	4	0	1
LOC105376767	2	1	0	1	0	0
CELA2B	12	9	10	1	2	7
CASP9	494	326	419	503	315	438
DNAJC16	1556	1211	1271	2049	1498	2047
SCARNA21B	0	0	0	0	0	0
AGMAT	161	134	148	376	236	325
DDI2	5055	3737	4007	6617	4705	6323
RSC1A1	768	605	652	1043	746	1009
PLEKHM2	3503	2237	2787	3629	2376	3121
SLC25A34	99	87	99	131	78	111
SLC25A34-AS1	7	7	4	7	7	4
TMEM82	0	1	1	1	2	0
FBLIM1	338	186	227	135	78	110
UQCRHL	411	328	356	701	542	738
SPEN-AS1	317	247	281	570	450	553
SPEN	7702	5109	6262	10176	6547	8983
ZBTB17	1753	1167	1436	2168	1538	2121
SRARP	102	89	78	41	32	29
HSPB7	23	16	30	29	28	30
CLCNKA	31	32	32	55	24	56
CLCNKB	5	2	5	4	3	2
FAM131C	70	46	56	48	25	49
EPHA2	686	454	564	486	333	448
EPHA2-AS1	39	35	30	34	26	24
ARHGEF19	2203	1391	1764	5649	3784	4940
ANO7L1	82	54	73	193	145	188
CPLANE2	410	241	301	604	379	508
FBXO42	1605	1179	1317	1798	1248	1561
SZRD1	3512	2310	2857	5538	3685	4802
SPATA21	1559	1039	1245	2436	1582	2244
NECAP2	1966	1320	1620	2582	1749	2316
LINC01772	123	116	116	218	165	184
CROCCP3	572	396	452	773	462	667
RNU1-1	9	6	12	5	5	5
TRN-GTT5-1	1	1	0	0	0	0
LINC01783	1	1	0	0	1	0
TRE-TTC4-1	0	0	0	0	0	0
TRG-CCC1-1	0	0	0	0	0	0
NBPF1	2774	2040	2177	20364	13704	18428
LOC105376794	1651	1197	1356	3379	2308	3086
CROCCP2	974	674	714	1513	1047	1335
MST1P2	489	289	369	1126	795	1006
LOC107985736	16	10	16	33	33	28
RNU1-3	8	6	10	4	6	4
TRG-CCC4-1	0	0	0	0	0	0
ESPNP	53	38	22	106	58	87
TRG-CCC5-1	0	0	0	0	0	0
RNU1-4	2	2	2	2	2	2
MST1L	144	86	123	361	245	353
MIR3675	0	0	0	0	0	0
TRG-CCC1-2	3	0	0	0	0	0
LOC112267871	2	0	1	1	5	3
TRE-TTC3-1	0	0	0	0	0	0
TRN-GTT13-1	0	0	0	0	0	0
LOC105376805	0	0	1	0	0	0
TRN-GTT4-1	0	0	0	0	0	0
RNU1-2	1	1	1	2	2	1
CROCC	2190	1528	1722	4147	2741	3421
MFAP2	236	162	173	737	470	596
LOC105376806	60	44	45	176	102	146
ATP13A2	2716	1817	2301	2395	1489	1975
SDHB	1729	1282	1443	2988	2018	2920
PADI2	125	90	88	495	318	413
LOC105376808	0	0	1	0	0	0
LINC02783	0	0	0	0	0	0
PADI1	11	5	5	8	3	2
PADI3	18	22	24	876	700	1016
MIR3972	0	0	0	5	1	2
PADI4	3	2	5	6	5	6
PADI6	13	4	6	15	8	7
RCC2	10041	6762	7884	15762	10221	14188
ARHGEF10L	4795	2965	3965	34344	22848	30016
LINC02810	0	1	0	1	0	0
ACTL8	18	9	14	44	32	41
LOC105376809	1	0	0	0	0	0
LOC105376812	0	0	0	0	0	0
LINC01654	0	0	0	0	0	0
IGSF21	1	0	0	0	0	0
IGSF21-AS1	0	0	0	0	0	0
KLHDC7A	14	12	20	27	19	30
PAX7	4	0	3	1	1	2
TAS1R2	1	1	4	0	0	0
ALDH4A1	3357	2206	2790	5878	4057	5396
MIR4695	0	0	0	1	0	0
MIR1290	0	0	1	3	0	0
IFFO2	1806	1209	1334	1061	672	928
LOC105376815	3	0	1	1	1	1
UBR4	16686	11628	13261	18891	11634	16011
EMC1-AS1	123	92	114	223	140	196
EMC1	2719	1890	2261	4160	2717	3727
MRTO4	1946	1318	1602	3249	2227	3189
AKR7L	70	39	37	78	45	72
AKR7A3	104	50	69	98	98	126
LOC100506730	262	176	210	365	253	327
AKR7A2	3067	2120	2627	4655	3306	4345
SLC66A1	950	634	760	1023	695	927
CAPZB	7153	4679	5795	7345	4833	6326
LOC105376819	1	2	0	0	2	0
LOC105376818	1	1	0	2	0	0
LOC105376817	0	0	2	2	0	0
MICOS10-DT	0	0	0	0	0	0
MICOS10	1353	922	1106	8472	5520	7720
MICOS10-NBL1	862	546	663	3304	2200	2888
RPS14P3	86	38	49	97	57	106
NBL1	468	308	333	191	118	153
HTR6	12	4	7	14	14	7
TMCO4	1035	675	851	1636	1043	1490
RNF186	1	0	1	1	0	0
LOC105376823	3	1	2	4	2	2
OTUD3	1301	991	1078	1725	1285	1711
PLA2G2E	0	2	0	0	0	0
PLA2G2A	40	15	15	1	0	0
PLA2G5	0	0	0	0	0	0
PLA2G2D	0	0	0	0	0	0
PLA2G2F	1	0	0	0	0	0
PLA2G2C	0	0	0	0	0	0
UBXN10	7	6	2	0	0	0
UBXN10-AS1	0	0	0	0	0	0
LOC105376825	1	2	0	0	0	0
LOC105376826	0	1	2	2	0	0
LINC01757	0	0	0	0	0	0
LOC105376828	0	0	1	0	0	0
VWA5B1	6	3	1	2	1	2
LINC01141	0	1	1	0	0	0
CAMK2N1	1521	1121	1123	697	421	509
MUL1	1128	758	903	1347	942	1125
FAM43B	0	0	0	1	0	0
CDA	2	0	0	0	0	0
PINK1	1616	1158	1293	1376	960	1175
MIR6084	110	114	87	67	52	63
PINK1-AS	1457	1029	1143	1524	1118	1416
DDOST	7893	5611	6471	11368	7867	10725
KIF17	24	12	19	10	9	7
SH2D5	149	106	107	69	53	69
LOC112268222	1274	899	1067	2251	1481	2063
HP1BP3	6974	5098	5633	13079	8954	12258
EIF4G3	8959	6308	7184	10925	7163	9980
LOC105376830	2	0	2	7	7	2
LOC105376829	6	8	1	9	2	1
MIR1256	0	0	0	0	0	0
ECE1	6188	3883	4903	9577	6303	7988
ECE1-AS1	10	8	9	35	19	15
LOC105376832	0	0	0	0	0	0
NBPF3	924	745	795	1505	1006	1383
ALPL	11	3	3	8	6	3
LINC02596	1	1	0	1	1	0
RAP1GAP	2815	1767	2153	2308	1524	1817
USP48	4076	3032	3210	6374	4411	6170
LDLRAD2	161	114	130	223	149	189
HSPG2	2337	1513	1895	3242	2194	2818
CELA3B	2	1	0	0	0	0
CELA3A	5	0	0	0	0	0
LINC01635	17	16	14	49	43	45
LINC00339	286	182	204	715	519	730
CDC42-AS1	17	8	13	17	11	24
CDC42	7033	5002	5725	8877	6256	8220
WNT4	170	132	169	89	47	64
LOC105376845	38	24	33	64	42	47
LOC105376850	33	11	22	29	30	32
LOC107985377	0	0	6	2	2	0
MIR4418	0	0	0	0	0	0
LOC105376856	2	0	1	0	0	0
ZBTB40	3006	2034	2446	7451	4930	6662
EPHA8	15	7	5	156	145	184
MIR6127	0	0	0	0	0	0
C1QA	0	0	0	0	1	3
C1QC	0	0	3	0	0	0
C1QB	1	0	0	0	0	0
EPHB2	297	217	267	274	175	217
MIR4684	0	0	0	0	0	0
MIR4253	11	4	9	8	7	6
LACTBL1	0	0	1	0	0	0
TEX46	4	0	2	6	3	5
KDM1A	4806	3621	3890	9417	6319	8666
MIR3115	0	0	0	1	0	0
LUZP1	1922	1426	1651	2331	1519	2120
HTR1D	52	37	61	12	20	17
LINC01355	390	295	339	760	514	769
HNRNPR	5224	3757	4262	11928	8333	11516
ZNF436	930	648	773	1505	1078	1572
ZNF436-AS1	77	80	87	178	123	175
TCEA3	574	341	488	1356	862	1164
ASAP3	1861	1202	1457	1923	1296	1690
E2F2	207	134	185	1343	896	1219
LOC101928163	9	5	6	37	30	36
LOC105376859	190	127	131	219	148	220
ID3	10989	7443	8655	7624	4826	6447
LOC107984928	6	3	8	3	2	0
MDS2	4	2	1	2	2	1
RPL11	54083	35902	44703	74070	55967	74387
ELOA	3143	2282	2496	3650	2252	3278
ELOA-AS1	289	228	246	385	237	353
PITHD1	1076	769	891	1404	913	1220
LOC105376860	267	153	230	260	176	247
LYPLA2	3086	1954	2469	3614	2374	3075
GALE	831	562	729	1418	1015	1284
HMGCL	1034	677	829	1894	1436	1927
LOC105376861	0	4	3	1	3	4
FUCA1	1204	829	948	1010	686	928
CNR2	6	4	3	2	1	6
LOC107984929	0	0	0	0	0	2
MIR378F	0	0	0	0	0	0
PNRC2	4153	2986	3386	35936	25424	34420
SRSF10	7116	5076	5836	14393	9723	14064
LOC105378615	0	0	0	0	0	0
LOC105376863	17	9	9	42	15	35
LOC107984931	0	0	0	3	1	0
MYOM3	5	1	3	17	6	7
MYOM3-AS1	0	0	2	0	0	0
LOC105376864	0	0	0	4	2	2
IL22RA1	1	0	0	0	3	0
IFNLR1	29	23	28	74	53	81
LINC02800	3	1	2	0	0	0
GRHL3-AS1	15	6	4	14	7	3
GRHL3	226	163	181	55	31	56
STPG1	152	163	178	280	218	250
NIPAL3	1299	958	1050	1826	1224	1586
RCAN3AS	5	2	3	6	5	4
RCAN3	1026	791	879	825	556	692
NCMAP-DT	51	31	36	41	29	35
NCMAP	8	1	2	6	3	2
SRRM1	4737	3211	3585	6162	4103	5616
CLIC4	5293	3833	4022	7702	5414	7170
LOC105376876	1	1	2	0	0	0
RUNX3	5	1	1	2	1	2
MIR6731	1	0	0	0	0	0
LOC107984932	1	0	0	0	0	0
RUNX3-AS1	1	2	1	1	1	0
MIR4425	0	0	0	0	0	0
LINC02793	0	0	0	0	0	0
SYF2	1775	1462	1496	2235	1588	2221
RSRP1	5690	4212	4634	9348	6229	8520
LOC105376882	0	0	3	0	1	0
RHD	46	22	35	47	35	55
TMEM50A	1889	1476	1538	2387	1648	2272
RHCE	769	559	636	961	681	941
MACO1	2096	1567	1731	2180	1414	2024
LDLRAP1	1313	924	1024	1435	864	1129
MAN1C1	170	157	170	102	55	78
SELENON	2389	1562	1872	2530	1584	2172
MTFR1L	1436	996	1242	2181	1457	2067
LOC646471	581	442	572	973	723	898
AUNIP	326	239	269	515	363	537
PAQR7	103	103	105	175	134	198
STMN1	1798	1384	1555	11612	8137	11401
MIR3917	81	67	85	523	418	489
LOC105376885	0	0	0	0	1	0
PAFAH2	1073	692	807	5900	3988	5768
LOC101928216	9	4	8	4	6	14
EXTL1	16	10	16	37	32	43
SLC30A2	1	1	0	0	0	0
LOC105376910	0	0	0	0	3	0
TRIM63	0	0	0	0	0	0
PDIK1L	788	675	691	1102	785	1108
LOC105376886	4	2	2	13	3	2
FAM110D	1	5	1	2	3	6
C1orf232	0	0	3	1	0	0
ZNF593	1048	695	744	1368	958	1261
CNKSR1	2582	1710	2183	2851	1925	2453
CATSPER4	2	4	3	6	3	5
ZPLD2P	0	1	1	0	0	0
CEP85	1716	1196	1447	2515	1591	2255
SH3BGRL3	2956	1845	2461	2516	1611	2123
UBXN11	879	607	697	936	586	792
CD52	27	19	17	1	0	1
CRYBG2	88	44	54	30	14	32
ZNF683	3	0	0	0	0	1
LIN28A	2	2	0	7	2	4
DHDDS	1226	872	967	1613	984	1482
DHDDS-AS1	22	18	15	33	28	27
HMGN2	8677	6280	6895	26984	18619	25062
RPS6KA1	1693	1067	1248	2323	1527	2093
MIR1976	1	0	4	1	1	1
LOC105376888	5	2	5	6	4	4
LOC101928728	42	15	25	35	48	50
ARID1A	10274	7366	8369	14166	9308	12431
PIGV	840	583	757	1601	1141	1516
ZDHHC18	1152	762	961	1741	1199	1655
SFN	1493	867	1167	2772	1676	2280
GPN2	1922	1465	1583	2712	1736	2460
GPATCH3	576	341	420	743	519	613
NUDC	3268	2066	2592	4689	3053	4244
NR0B2	6	0	3	2	6	1
KDF1	1036	577	850	1248	866	1107
TRNP1	278	208	217	189	159	189
TENT5B	439	258	383	696	543	632
LOC101928391	2	1	1	0	0	3
SLC9A1	11902	7573	9299	6642	4281	5755
LOC102723760	0	0	0	0	0	0
WDTC1-DT	0	0	0	0	0	0
WDTC1	3205	2014	2612	4399	2745	3818
TMEM222	1514	1043	1332	1856	1234	1649
ACTG1P20	177	137	157	249	170	259
SYTL1	5560	3898	4444	6596	4465	5757
MAP3K6	741	504	569	1709	995	1384
FCN3	1	2	4	1	1	4
CD164L2	16	11	20	35	21	28
GPR3	21	11	9	12	7	5
WASF2	7339	5024	5892	9923	6897	9208
LOC105376892	2	2	3	1	3	2
AHDC1	2207	1544	1681	2157	1578	1884
FGR	18	12	11	7	7	14
LINC02574	0	0	2	0	0	0
IFI6	4121	3314	3901	1161	502	525
FAM76A	279	253	240	422	287	346
STX12	1726	1198	1341	2003	1326	1875
PPP1R8	1493	981	1194	2345	1620	2236
SCARNA1	4	1	3	9	0	2
THEMIS2	96	77	84	44	26	36
RPA2	1387	1031	1127	2339	1683	2277
SMPDL3B	180	96	145	575	405	491
XKR8	565	359	384	621	407	556
EYA3	1548	1146	1253	3075	2167	2952
PTAFR	89	66	49	69	70	93
DNAJC8	2632	1798	2101	4772	3332	4663
ATP5IF1	2886	2014	2224	5631	3760	5241
SESN2	2965	2078	2322	1763	1266	1554
MED18	608	462	542	1114	794	1049
PHACTR4	1928	1467	1608	3390	2230	3063
RCC1	7360	4695	5940	11915	8210	11269
